Jan,Jan-temp-high,Jan-temp-avg,Jan-temp-low,Jan-dew-high,Jan-dew-avg,Jan-dew-low,Jan-humidity-low,Jan-humidity-avg,Jan-humidity-low,Jan-seapress-low,Jan-seapress-avg,Jan-seapress-low,Jan-visibility-low,Jan-visibility-avg,Jan-visibility-low,Jan-wind-high,Jan-wind-avg,Jan-wind-high,Jan-precip-inches,Jan-events,Feb-,Feb-temp-high,Feb-temp-avg,Feb-temp-low,Feb-dew-high,Feb-dew-avg,Feb-dew-low,Feb-humidity-low,Feb-humidity-avg,Feb-humidity-low,Feb-seapress-low,Feb-seapress-avg,Feb-seapress-low,Feb-visibility-low,Feb-visibility-avg,Feb-visibility-low,Feb-wind-high,Feb-wind-avg,Feb-wind-high,Feb-precip-inches,Feb-events,March-,Mar-temp-high,Mar-temp-avg,Mar-temp-low,Mar-dew-high,Mar-dew-avg,Mar-dew-low,Mar-humidity-low,Mar-humidity-avg,Mar-humidity-low,Mar-seapress-low,Mar-seapress-avg,Mar-seapress-low,Mar-visibility-low,Mar-visibility-avg,Mar-visibility-low,Mar-wind-high,Mar-wind-avg,Mar-wind-high,Mar-precip-inches,Mar-events,Apr-,Apr-temp-high,Apr-temp-avg,Apr-temp-low,Apr-dew-high,Apr-dew-avg,Apr-dew-low,Apr-humidity-low,Apr-humidity-avg,Apr-humidity-low,Apr-seapress-low,Apr-seapress-avg,Apr-seapress-low,Apr-visibility-low,Apr-visibility-avg,Apr-visibility-low,Apr-wind-high,Apr-wind-avg,Apr-wind-high,Apr-precip-inches,Apr-events,May-,May-temp-high,May-temp-avg,May-temp-low,May-dew-high,May-dew-avg,May-dew-low,May-humidity-low,May-humidity-avg,May-humidity-low,May-seMayess-low,May-seMayess-avg,May-seMayess-low,May-visibility-low,May-visibility-avg,May-visibility-low,May-wind-high,May-wind-avg,May-wind-high,May-precip-inches,May-events,June-,June-temp-high,June-temp-avg,June-temp-low,June-dew-high,June-dew-avg,June-dew-low,June-humidity-low,June-humidity-avg,June-humidity-low,June-seJuneess-low,June-seJuneess-avg,June-seJuneess-low,June-visibility-low,June-visibility-avg,June-visibility-low,June-wind-high,June-wind-avg,June-wind-high,June-precip-inches,June-events,July-,July-temp-high,July-temp-avg,July-temp-low,July-dew-high,July-dew-avg,July-dew-low,July-humidity-low,July-humidity-avg,July-humidity-low,July-seJulyess-low,July-seJulyess-avg,July-seJulyess-low,July-visibility-low,July-visibility-avg,July-visibility-low,July-wind-high,July-wind-avg,July-wind-high,July-precip-inches,July-events,Aug-,Aug-temp-high,Aug-temp-avg,Aug-temp-low,Aug-dew-high,Aug-dew-avg,Aug-dew-low,Aug-humidity-low,Aug-humidity-avg,Aug-humidity-low,Aug-seAugess-low,Aug-seAugess-avg,Aug-seAugess-low,Aug-visibility-low,Aug-visibility-avg,Aug-visibility-low,Aug-wind-high,Aug-wind-avg,Aug-wind-high,Aug-precip-inches,Aug-events,Sep-,Sep-temp-high,Sep-temp-avg,Sep-temp-low,Sep-dew-high,Sep-dew-avg,Sep-dew-low,Sep-humidity-low,Sep-humidity-avg,Sep-humidity-low,Sep-seSepess-low,Sep-seSepess-avg,Sep-seSepess-low,Sep-visibility-low,Sep-visibility-avg,Sep-visibility-low,Sep-wind-high,Sep-wind-avg,Sep-wind-high,Sep-precip-inches,Sep-events,Oct-,Oct-temp-high,Oct-temp-avg,Oct-temp-low,Oct-dew-high,Oct-dew-avg,Oct-dew-low,Oct-humidity-low,Oct-humidity-avg,Oct-humidity-low,Oct-seOctess-low,Oct-seOctess-avg,Oct-seOctess-low,Oct-visibility-low,Oct-visibility-avg,Oct-visibility-low,Oct-wind-high,Oct-wind-avg,Oct-wind-high,Oct-precip-inches,Oct-events,Nov-,Nov-temp-high,Nov-temp-avg,Nov-temp-low,Nov-dew-high,Nov-dew-avg,Nov-dew-low,Nov-humidity-low,Nov-humidity-avg,Nov-humidity-low,Nov-seNovess-low,Nov-seNovess-avg,Nov-seNovess-low,Nov-visibility-low,Nov-visibility-avg,Nov-visibility-low,Nov-wind-high,Nov-wind-avg,Nov-wind-high,Nov-precip-inches,Nov-events,Dec-,Dec-temp-high,Dec-temp-avg,Dec-temp-low,Dec-dew-high,Dec-dew-avg,Dec-dew-low,Dec-humidity-low,Dec-humidity-avg,Dec-humidity-low,Dec-seDecess-low,Dec-seDecess-avg,Dec-seDecess-low,Dec-visibility-low,Dec-visibility-avg,Dec-visibility-low,Dec-wind-high,Dec-wind-avg,Dec-wind-high,Dec-precip-inches,Dec-events
11,56,53,50,49,47,46,93,83,72,30.33,30.29,30.25,10,10,7,13,2,13,0,None,11,65,58,50,54,51,46,93,78,63,30.2,30.15,30.11,10,10,7,18,6,21,0,None,11,60,56,52,57,49,43,89,78,67,30.04,29.82,29.68,10,7,2,39,19,49,0.31,Rain,11,64,59,54,53,49,47,86,73,60,30.17,30.09,30.01,10,10,9,15,7,18,0,None,11,66,59,52,56,54,52,100,84,67,30.06,30.03,30,10,10,10,23,11,26,0,None,11,80,66,51,53,47,41,83,55,26,29.95,29.92,29.88,10,10,10,29,10,33,0,None,11,69,62,55,52,51,49,83,71,58,29.98,29.95,29.91,10,10,10,32,16,36,0,None,11,73,65,57,57,54,53,86,70,53,30.03,29.99,29.94,10,10,10,24,10,28,0,None,11,71,63,55,54,52,50,86,69,51,30.09,30.04,29.96,10,10,10,20,8,24,0,None,11,68,62,55,50,49,46,83,66,48,30.09,30.05,30.01,10,10,10,18,9,24,0,None,11,69,63,57,60,55,45,90,74,58,30.1,30.05,30.03,10,9,7,20,5,24,0,None,11,54,51,47,46,42,39,89,74,59,30.21,30.17,30.14,10,10,10,15,8,18,0,None
12,59,54,49,48,46,43,93,75,57,30.3,30.17,30.02,10,9,5,20,6,24,0,None,12,66,57,47,55,52,45,96,80,63,30.24,30.21,30.18,10,9,2,24,9,29,0,None,12,60,55,49,55,51,44,93,80,66,30.14,30.1,30.07,10,7,2,25,13,35,0.27,Rain,12,61,58,54,52,48,44,83,75,66,30.24,30.2,30.15,10,10,9,32,18,38,0,None,12,65,59,53,54,53,52,93,78,63,30.07,30.04,30.01,10,10,9,24,14,29,0,None,12,76,67,58,56,51,48,75,59,43,30.08,30.01,29.91,10,10,10,22,9,26,0,None,12,69,62,55,52,51,50,86,70,53,30.01,29.96,29.92,10,10,10,25,16,29,0,None,12,69,62,54,56,53,51,87,73,59,30.06,30.02,29.97,10,10,7,25,12,29,0,None,12,66,60,54,51,49,48,83,68,52,29.95,29.9,29.85,10,10,10,26,10,33,0,None,12,60,58,55,59,51,48,86,79,72,30.1,30.08,30.05,10,10,9,13,6,24,0,None,12,70,64,57,59,54,46,93,73,52,30.17,30.13,30.1,10,10,9,24,9,28,0,None,12,55,52,49,46,44,42,83,75,66,30.19,30.14,30.1,10,10,10,13,4,14,0,None
13,59,54,48,55,48,44,86,77,67,30.24,30.13,29.99,10,9,3,35,15,45,0.33,Rain,13,66,60,53,55,51,47,100,79,58,30.31,30.25,30.21,10,7,0,28,12,32,0,Cloudy,13,61,59,57,57,55,53,93,89,84,30.09,30.03,29.99,10,7,2,25,13,34,0.9,Rain,13,64,59,53,60,48,41,93,74,55,30.24,30.18,30.09,10,10,9,28,15,33,0,None,13,66,61,55,54,52,49,93,77,60,30.05,30.03,30,10,10,10,24,12,29,0,None,13,66,61,55,51,49,48,83,68,52,30.12,30.08,30.04,10,10,10,40,18,49,0,None,13,77,66,55,56,52,51,86,65,43,30.01,29.97,29.93,10,10,10,25,12,30,0,None,13,70,62,53,54,52,51,93,74,55,30.01,29.96,29.89,10,10,10,25,14,29,0,None,13,71,64,56,53,50,47,72,62,51,30.02,29.91,29.83,10,10,10,22,10,26,0,None,13,72,64,55,55,53,48,86,68,49,30.09,30.05,29.96,10,10,10,13,7,24,0,None,13,68,61,54,58,55,49,93,81,68,30.19,30.17,30.14,10,8,0,20,7,24,0,Cloudy,13,55,53,50,51,47,43,86,79,71,30.16,30.1,30.07,10,8,3,12,4,13,0,Rain
14,57,51,44,52,45,41,92,79,66,30.21,30.1,30.01,10,9,6,21,8,28,0.03,Rain,14,67,59,50,55,50,46,86,73,60,30.31,30.25,30.2,10,10,10,28,10,33,0,None,14,61,56,51,54,48,42,89,70,51,30.28,30.21,30.07,10,10,10,22,12,27,0,None,14,63,57,50,50,46,41,83,72,60,30.18,30.13,30.07,10,10,6,33,19,40,0.03,Rain,14,71,63,54,62,57,51,100,84,68,30.08,30.04,30,10,10,10,24,10,29,0,None,14,65,60,55,49,46,44,77,63,48,30.07,30.04,29.99,10,10,10,41,25,50,0,None,14,68,61,54,52,52,51,93,74,55,30,29.96,29.93,10,10,10,28,15,33,0,None,14,70,62,54,53,53,52,93,76,59,29.96,29.92,29.88,10,10,9,28,17,33,0,Cloudy,14,74,65,56,55,52,49,80,63,46,30.12,30.07,30.04,10,10,10,22,10,26,0,None,14,68,63,58,63,59,54,90,77,63,29.97,29.94,29.91,10,7,2,20,13,32,0.23,Rain,14,63,59,54,58,55,52,100,89,78,30.2,30.16,30.12,10,7,2,21,7,24,0,None,14,62,57,52,55,53,51,93,83,72,30.07,30.01,29.97,10,8,2,21,7,27,0,Rain
15,57,54,50,51,48,44,89,78,66,30.17,30.09,30.01,10,10,6,18,5,23,0.21,Rain,15,75,64,53,55,50,45,93,64,35,30.2,30.12,30.03,10,10,10,12,3,14,0,None,15,64,56,47,51,47,44,93,75,56,30.29,30.23,30.15,10,10,10,21,8,26,0,None,15,66,58,49,54,50,46,100,76,52,30.17,30.13,30.09,10,10,10,32,13,37,0,None,15,66,61,56,60,55,48,100,84,68,30.01,29.99,29.96,10,10,10,33,21,40,0,None,15,66,60,53,49,46,41,77,60,43,30.09,30.04,29.95,10,10,10,33,16,39,0,None,15,73,64,54,55,52,49,93,73,53,29.96,29.92,29.87,10,10,10,22,9,27,0,None,15,70,63,55,54,53,51,86,72,57,29.97,29.94,29.89,10,10,10,23,12,29,0,None,15,65,60,55,54,52,51,93,80,67,30.08,30.04,29.99,10,10,9,25,15,31,0,None,15,72,64,56,61,57,53,93,77,61,29.96,29.87,29.53,10,9,4,33,13,46,0.4,Rain,15,65,61,56,57,53,48,93,80,67,30.14,30.11,30.07,10,10,9,22,11,26,0,Rain,15,61,18,-25,56,53,43,93,87,80,29.98,29.77,29.62,10,4,1,37,18,47,1.49,Rain
16,61,56,51,57,52,48,96,90,84,30.19,30.15,30.12,10,7,2,16,5,19,0.15,Rain,16,74,64,53,55,52,41,89,71,53,30.03,29.88,29.72,10,10,10,23,2,28,0,None,16,71,60,48,54,49,44,96,70,44,30.15,30.08,30,10,10,10,21,7,24,0,None,16,79,65,51,60,51,42,100,67,33,30.12,30.08,30.04,10,10,10,21,7,23,0,None,16,71,63,54,54,49,45,83,68,53,30,29.96,29.91,10,10,10,30,14,35,0,None,16,74,65,56,54,50,46,72,58,44,30.1,30.07,30.04,10,10,10,24,9,29,0,None,16,73,64,55,55,53,50,86,70,53,29.91,29.89,29.85,10,10,10,18,8,22,0,None,16,68,62,55,54,53,52,93,76,59,29.94,29.91,29.86,10,10,10,24,13,29,0,None,16,69,62,55,54,52,50,86,71,55,30.01,29.98,29.93,10,10,9,24,11,29,0,None,16,66,64,62,61,59,54,93,83,72,29.88,29.82,29.75,10,8,2,29,10,36,0.67,Rain,16,61,56,50,48,42,40,72,59,46,30.12,30.09,30.06,10,10,10,29,14,35,0,None,16,54,50,45,42,37,33,71,63,54,30.13,29.94,29.74,10,10,10,36,21,43,0,None
17,60,57,54,55,54,52,93,86,78,30.17,30.1,30.05,10,8,2,23,10,32,0.67,Rain,17,69,60,50,55,48,41,87,62,36,29.7,29.62,29.52,10,8,2,38,18,49,0.45,Rain ,17,76,64,51,56,52,48,100,75,49,29.99,29.94,29.89,10,10,10,14,4,14,0,None,17,83,69,54,54,44,34,56,47,38,30.06,30.02,29.98,10,10,10,16,5,17,0,None,17,87,71,54,75,56,45,100,74,48,29.94,29.92,29.89,10,10,10,25,10,29,0,None,17,72,65,58,56,54,52,80,69,57,30.11,30.06,30.02,10,10,10,20,10,23,0,None,17,71,63,55,52,52,50,86,71,55,30.02,29.95,29.88,10,10,10,28,13,33,0,None,17,70,63,55,55,54,51,87,72,57,29.9,29.85,29.79,10,10,9,23,12,27,0,None,17,71,62,53,56,52,51,93,79,53,30.04,29.99,29.94,10,9,7,21,10,24,0,None,17,69,64,59,55,53,49,84,67,49,30.1,30.02,29.9,10,10,10,17,10,21,0.06,None,17,61,54,46,47,41,38,82,62,42,30.15,30.11,30.07,10,10,10,14,4,15,0,None,17,52,45,38,34,31,26,70,55,39,30.32,30.26,30.15,10,10,10,12,5,13,0,None
18,61,57,53,54,52,50,93,83,72,30.17,30.13,30.06,10,10,7,14,5,17,0.3,Rain,18,61,56,50,52,45,39,89,70,51,30.06,29.94,29.69,10,10,7,29,13,37,0.17,Rain,18,63,58,52,54,52,51,100,86,72,30.04,30,29.94,10,10,10,24,11,29,0,None,18,82,69,56,54,45,35,56,47,38,30.07,30.04,30.01,10,10,10,24,7,26,0,None,18,73,65,56,61,53,46,83,70,57,29.99,29.94,29.9,10,10,10,29,12,33,0,None,18,72,64,56,51,49,47,80,61,41,30.21,30.15,30.1,10,10,10,29,14,33,0,None,18,69,63,56,54,53,52,86,71,55,30.12,30.08,30.02,10,10,8,26,15,33,0,None,18,73,66,58,57,55,54,87,72,57,29.88,29.85,29.82,10,10,9,20,10,23,0,None,18,88,72,56,62,54,48,83,55,27,29.99,29.93,29.88,10,10,10,23,8,26,0,None,18,69,63,56,55,53,49,93,74,55,30.2,30.15,30.11,10,10,10,24,9,28,0,None,18,67,57,46,44,41,36,82,60,37,30.08,30,29.94,10,10,10,23,8,26,0,None,18,53,45,37,35,28,22,85,58,30,30.4,30.35,30.3,10,10,10,15,5,17,0,None
19,62,58,53,59,53,50,93,86,78,30.22,30.05,29.9,10,8,1,33,13,44,1.04,Rain,19,62,55,48,53,48,45,100,78,55,30.25,30.14,30.04,10,9,2,29,9,39,0.05,Rain,19,67,60,53,57,53,51,100,84,68,30.06,30.04,30.01,10,10,10,25,8,31,0,None,19,80,69,57,55,43,30,57,45,33,30.04,29.96,29.9,10,10,10,23,8,29,0,None,19,64,59,53,55,48,43,77,66,55,29.93,29.88,29.79,10,10,9,52,24,60,0,None,19,84,71,57,57,49,43,77,53,28,30.11,30.06,30.02,10,10,10,28,12,35,0,None,19,69,62,55,52,51,48,86,70,53,30.13,30.09,30.04,10,10,10,29,16,36,0,None,19,73,66,58,56,54,52,86,72,57,29.94,29.91,29.88,10,10,9,23,10,27,0,None,19,85,73,61,63,55,51,78,56,34,29.96,29.91,29.87,10,10,10,22,8,24,0,None,19,74,64,53,51,48,45,83,61,38,30.21,30.16,30.11,10,10,10,21,6,24,0,None,19,61,58,55,55,52,41,93,74,55,29.95,29.93,29.88,10,8,2,22,10,29,0.59,Rain,19,55,46,36,38,34,28,85,63,41,30.46,30.38,30.32,10,10,10,16,6,18,0,None
20,56,52,47,53,49,44,96,91,86,30.3,30.24,30.2,10,8,4,10,4,12,0,None,20,60,53,45,51,45,38,100,77,54,30.26,30.22,30.17,10,10,10,16,6,18,0,None,20,66,60,54,59,55,52,97,85,73,30.1,30.06,30.04,10,8,2,18,8,26,0.11,Rain,20,75,64,52,53,42,25,78,54,29,29.97,29.94,29.92,10,10,10,20,7,23,0,None,20,62,57,52,57,45,42,93,74,55,29.96,29.86,29.8,10,10,10,33,22,41,0,None,20,72,64,55,51,49,47,83,64,44,30.09,30.06,30.03,10,10,9,31,17,36,0,None,20,68,62,56,52,51,50,86,72,58,30.09,30.06,30.02,10,10,10,31,17,36,0,None,20,69,64,58,54,54,53,86,73,59,29.98,29.94,29.9,10,10,10,25,14,28,0,None,20,73,66,58,55,53,51,86,68,49,30,29.95,29.9,10,10,9,22,12,25,0,None,20,78,66,54,57,50,43,78,59,39,30.16,30.08,30.01,10,10,10,15,5,17,0,None,20,60,57,54,56,54,52,93,87,80,29.96,29.93,29.9,10,8,1,13,7,16,0.2,Rain,20,56,48,40,43,38,35,82,68,54,30.35,30.27,30.17,10,10,10,13,5,15,0,None
21,62,56,50,57,50,46,93,77,60,30.2,30.11,30.03,10,10,9,22,5,26,0,Rain,21,61,53,45,53,46,41,100,75,49,30.3,30.26,30.22,10,10,10,23,8,26,0,None,21,64,59,54,57,52,48,93,83,72,30.13,30.08,30.04,10,10,7,25,11,34,0.01,Rain,21,70,65,60,55,51,48,78,63,47,29.94,29.9,29.86,10,10,10,24,11,30,0,None,21,64,59,54,57,47,44,84,68,52,30.1,30.02,29.95,10,10,10,22,12,26,0,None,21,78,67,55,54,50,48,83,61,38,30.06,30.02,29.96,10,10,10,29,13,33,0,None,21,70,63,56,53,52,51,86,70,53,30.12,30.1,30.05,10,10,10,31,17,37,0,None,21,69,64,58,54,53,53,86,73,59,29.96,29.94,29.91,10,10,10,26,13,32,0,None,21,66,62,57,51,50,49,80,68,56,29.99,29.95,29.92,10,10,9,41,22,49,0,None,21,73,65,57,59,54,51,93,76,59,30,29.94,29.89,10,10,10,26,11,31,0,None,21,61,57,52,52,50,46,93,79,64,30.17,30.05,29.95,10,10,8,23,11,28,0,None,21,62,54,45,47,42,36,83,60,36,30.17,30.09,30.02,10,10,10,14,3,16,0,None
22,61,57,53,56,54,48,100,90,80,30.06,29.99,29.94,10,6,2,23,10,31,0.51,Rain,22,68,58,48,55,48,45,100,74,48,30.27,30.19,30.07,10,10,10,15,3,16,0,None,22,61,56,51,49,47,45,83,69,55,30.28,30.23,30.14,10,10,10,29,13,36,0,None,22,62,58,53,57,51,43,100,80,60,30.12,29.92,29.82,10,9,4,29,16,37,0.15,Rain,22,65,60,55,52,48,45,77,67,56,30.12,30.08,30.03,10,10,10,23,12,27,0,None,22,65,60,55,50,50,49,83,72,60,30.04,30.01,29.98,10,10,10,25,14,35,0,None,22,70,62,54,52,52,51,86,70,53,30.13,30.08,30.02,10,10,10,30,16,33,0,None,22,69,64,58,55,54,53,86,74,61,30,29.96,29.93,10,10,9,26,13,32,0,None,22,68,62,56,52,50,48,83,68,52,30.08,30.04,29.97,10,10,10,35,19,40,0,None,22,67,62,56,53,51,47,93,75,56,29.92,29.89,29.87,10,10,7,23,12,26,0,None,22,60,54,47,50,47,44,86,77,67,30.21,30.16,30.11,10,10,7,22,7,27,0.02,Rain,22,58,50,42,49,42,36,86,74,62,30.05,30,29.96,10,10,9,18,4,21,0,None
23,58,55,51,51,47,45,83,78,72,30.16,30.07,29.98,10,10,8,29,14,33,0.06,None,23,70,59,48,52,43,32,100,64,27,30.1,30.05,30,10,10,10,21,5,24,0,None,23,66,57,48,52,48,44,93,71,48,30.34,30.3,30.25,10,10,10,23,9,27,0,None,23,63,57,51,50,47,42,83,70,56,30.22,30.18,30.13,10,10,10,30,15,35,0,None,23,66,60,54,60,48,46,100,76,52,30.02,29.96,29.91,10,10,10,23,14,26,0,None,23,73,64,54,53,50,46,89,65,41,30.09,30.07,30.03,10,10,10,38,22,44,0,None,23,72,64,56,52,51,50,83,66,49,30.02,29.94,29.86,10,10,10,31,15,36,0,None,23,73,65,57,55,53,51,80,67,53,30.09,30.05,30,10,10,10,24,10,28,0,None,23,73,63,52,54,50,46,83,62,41,30.16,30.12,30.08,10,10,9,28,12,33,0,None,23,66,59,51,53,50,46,83,71,58,29.95,29.91,29.87,10,10,10,24,10,29,0,None,23,61,56,50,50,45,38,83,63,42,30.37,30.29,30.15,10,10,7,17,9,20,0.03,Rain,23,57,52,47,50,44,38,86,75,63,29.94,29.86,29.8,10,9,3,28,11,33,0.62,Rain
24,57,53,49,47,45,42,86,74,61,30.26,30.22,30.15,10,10,10,20,9,22,0,None,24,67,58,48,57,47,37,100,71,42,30.17,30.12,30.09,10,10,10,20,5,24,0,None,24,65,58,50,55,52,49,96,82,67,30.3,30.23,30.16,10,10,10,28,13,32,0,None,24,64,57,50,50,45,39,83,68,52,30.13,30.05,29.99,10,10,10,48,25,58,0,None,24,65,61,56,53,50,46,77,72,67,30.07,29.99,29.9,10,10,10,24,15,29,0,None,24,73,64,54,53,50,48,93,70,47,30.1,30.05,29.98,10,10,6,29,17,33,0,None,24,69,63,56,53,51,50,83,68,53,29.93,29.88,29.84,10,10,10,26,15,30,0,None,24,68,63,57,54,53,52,86,72,58,30.12,30.05,29.99,10,10,9,28,14,32,0,None,24,82,70,58,59,54,52,80,60,40,30.14,30.09,30.04,10,10,10,24,8,28,0,None,24,69,65,60,55,52,49,78,63,47,29.98,29.95,29.91,10,10,3,30,15,38,0.03,Rain,24,59,52,44,46,43,40,89,73,57,30.36,30.26,30.17,10,10,9,10,5,13,0,None,24,52,48,43,39,37,35,83,69,54,30.01,29.91,29.86,10,10,9,22,12,26,0.03,Rain
25,58,54,49,53,49,45,93,85,77,30.29,30.26,30.23,10,10,10,9,3,11,0,None,25,67,59,50,58,52,44,100,79,57,30.17,30.11,30.07,10,10,8,18,6,22,0,None,25,65,58,50,53,50,48,96,76,56,30.15,30.06,29.97,10,10,10,28,13,35,0,None,25,63,55,47,43,38,31,71,57,42,30.06,30.04,30.02,10,10,10,37,20,43,0,None,25,65,61,56,51,49,46,77,69,60,30.14,30.11,30.06,10,10,10,25,14,33,0,None,25,77,66,55,54,50,48,77,60,43,29.99,29.96,29.92,10,10,10,30,14,37,0,None,25,72,63,54,56,52,50,86,70,53,29.96,29.93,29.89,10,10,10,22,11,24,0,None,25,70,63,56,54,53,51,86,72,57,29.99,29.94,29.88,10,10,9,23,10,26,0,None,25,94,76,58,57,47,32,84,50,16,30.06,30.01,29.96,10,10,10,20,6,22,0,None,25,71,67,62,58,55,52,84,71,57,30.06,30.02,29.98,10,10,9,32,13,41,0.04,Rain,25,58,52,45,46,43,40,86,72,57,30.17,30.05,29.9,10,10,9,16,4,20,0,None,25,53,45,37,39,37,33,85,70,54,30.19,30.07,30.01,10,10,10,24,9,27,0,None
26,57,52,46,50,48,45,100,83,66,30.37,30.32,30.27,10,7,0,13,4,15,0,Cloudy,26,70,61,52,56,51,46,93,73,53,30.23,30.15,30.09,10,10,10,17,9,22,0,None,26,65,59,52,55,52,49,100,82,63,30.04,30,29.97,10,10,9,32,16,39,0,None,26,62,55,47,45,43,41,86,69,51,30.08,30.06,30.05,10,10,9,37,17,44,0,None,26,70,63,55,59,51,46,83,70,56,30.13,30.07,30.01,10,10,10,26,11,31,0,None,26,72,63,54,51,50,48,83,65,47,30,29.97,29.94,10,10,10,32,18,37,0,None,26,81,67,53,58,51,48,89,63,36,29.94,29.88,29.82,10,10,10,23,11,27,0,None,26,72,66,59,56,54,53,78,66,53,29.98,29.94,29.89,10,10,10,21,8,24,0,None,26,93,78,63,61,47,32,68,43,18,30.01,29.96,29.91,10,10,10,21,6,22,0,None,26,72,65,58,58,54,51,86,68,49,30.08,30.01,29.96,10,10,10,21,6,23,0,None,26,56,54,51,48,47,44,89,78,66,29.92,29.87,29.8,10,9,4,30,11,36,0.51,Rain,26,53,47,41,36,32,28,70,56,41,30.37,30.29,30.19,10,10,9,15,7,17,0,None
27,61,55,49,51,48,46,93,80,67,30.35,30.31,30.27,10,10,7,12,3,13,0,None,27,65,60,55,58,50,46,90,71,52,30.23,30.18,30.13,10,10,9,22,9,26,0,None,27,62,57,51,54,50,46,100,81,62,30.12,30.07,30.01,10,10,10,39,24,44,0,None,27,60,55,49,51,46,42,89,73,57,30.06,29.95,29.88,10,10,8,39,19,48,0.04,Rain,27,73,63,53,59,52,41,87,68,49,30.01,29.92,29.84,10,10,9,24,10,29,0,None,27,70,61,52,51,50,48,89,70,51,30.03,29.99,29.94,10,10,10,32,18,37,0,None,27,72,63,54,53,51,49,86,70,53,29.92,29.89,29.86,10,10,10,26,15,33,0,None,27,72,67,61,54,53,52,78,66,53,30.04,30,29.97,10,10,10,20,9,26,0,None,27,79,68,56,58,50,41,80,56,32,29.93,29.88,29.82,10,10,10,20,9,24,0,None,27,65,63,60,59,57,55,90,82,73,29.99,29.94,29.9,10,8,2,16,5,22,0.58,Rain,27,59,55,51,49,45,42,83,70,57,30.11,30.05,29.89,10,10,3,33,12,44,0.11,Rain,27,53,46,39,39,33,27,76,59,41,30.37,30.33,30.3,10,10,10,10,3,28,0,None
28,59,53,47,52,48,44,93,83,72,30.3,30.25,30.2,10,10,7,10,4,12,0,None,28,65,58,51,54,50,46,93,75,56,30.24,30.2,30.16,10,10,2,20,8,22,0,None,28,59,54,49,45,42,39,77,67,57,30.01,29.95,29.89,10,10,10,32,21,40,0,None,28,63,56,48,48,46,44,86,71,56,29.99,29.93,29.89,10,10,9,36,18,41,0,None,28,79,68,56,54,48,40,72,56,39,29.9,29.84,29.81,10,10,9,21,10,24,0,None,28,67,60,52,50,50,49,96,76,56,30.02,29.98,29.95,10,10,9,29,19,33,0,None,28,69,61,53,54,52,50,93,74,55,29.94,29.89,29.83,10,10,10,26,15,31,0,None,28,72,66,59,53,52,51,78,64,49,30.1,30.07,30.04,10,10,10,23,11,26,0,None,28,68,62,55,55,52,51,86,75,63,29.99,29.91,29.86,10,10,10,25,14,32,0,None,28,67,64,61,60,59,57,93,83,73,29.96,29.89,29.85,10,9,4,18,8,22,0.26,Rain,28,61,56,51,51,46,42,86,71,55,30.07,30.04,30,10,10,8,24,11,31,0,None,28,58,49,40,45,38,32,86,63,40,30.33,30.27,30.2,10,10,10,12,4,13,0,None
29,61,57,53,57,54,51,93,89,84,30.21,30.11,30.04,10,8,2,16,9,21,0.07,Rain,29,67,60,52,59,53,48,100,82,63,30.21,30.16,30.11,10,6,1,10,4,11,0,None,29,64,56,47,49,44,33,89,63,36,29.93,29.9,29.87,10,10,10,22,10,25,0,None,29,60,54,48,47,46,45,86,73,60,30.06,30,29.93,10,10,8,44,19,51,0,None,29,72,63,53,52,49,45,83,66,49,30,29.96,29.9,10,10,9,22,10,25,0,None,29,63,58,52,50,49,48,89,77,65,30.02,29.97,29.93,10,10,8,24,14,29,0,None,29,69,61,53,54,52,51,93,74,55,29.88,29.84,29.78,10,10,10,28,15,32,0,None,29,71,64,57,55,53,50,80,69,57,30.13,30.08,30.01,10,10,10,26,15,34,0,None,29,63,59,54,52,51,50,89,77,65,30.11,30.06,30,10,10,9,30,14,36,0,None,29,70,66,61,60,57,52,90,76,61,29.97,29.94,29.89,10,10,6,21,8,26,0.02,Rain,29,61,53,44,44,41,37,83,64,44,30.16,30.12,30.06,10,10,10,10,3,11,0,None,29,58,50,41,42,38,33,83,67,51,30.22,30.16,30.12,10,10,10,8,3,9,0,None
30,58,55,51,50,45,39,93,74,55,30.09,30.05,29.99,10,10,10,20,13,23,0,None,,,,,,,,,,,,,,,,,,,,,,30,62,56,49,51,49,47,93,79,64,30.09,30.01,29.93,10,10,10,21,11,27,0,None,30,71,60,49,49,43,37,86,60,33,29.96,29.89,29.83,10,10,10,26,16,30,0,None,30,70,62,53,51,48,45,83,64,44,30.01,29.97,29.91,10,10,8,24,12,27,0,None,30,73,63,53,52,50,48,83,65,46,29.93,29.87,29.81,10,9,7,26,13,31,0,None,30,73,64,54,54,53,52,93,73,53,29.86,29.82,29.79,10,10,10,23,13,28,0,None,30,73,67,60,56,54,53,84,69,53,30.03,29.99,29.91,10,10,10,37,18,43,0,None,30,65,60,54,51,49,46,89,71,52,30.15,30.12,30.08,10,10,10,29,17,36,0,None,30,67,62,57,57,54,52,80,72,63,30.08,29.89,29.8,10,8,2,29,12,36,0.52,Rain,30,56,51,45,50,46,42,86,79,71,30.17,30.12,30.09,10,9,2,14,4,16,0.06,Rain,30,56,50,43,47,42,38,83,73,63,30.1,30.01,29.93,10,10,6,23,7,26,0,None
